CellIdx,Sentence
0,"{traveling to have a business meeting takes the fun out of the trip.  especially if you have to prepare a presentation.  i would suggest holding the business plan meetings here then take a trip without any formal business meetings.  i would even try and get some honest opinions on whether a trip is even desired or necessary., as far as the business meetings, i think it would be more productive to try and stimulate discussions across the different groups about what is working and what is not.  too often the presenter speaks and the others are quiet just waiting for their turn.   the meetings might be better if held in a round table discussion format.  , my suggestion for where to go is austin.  play golf and rent a ski boat and jet ski's.  flying somewhere takes too much time.}"
1,{test successful.  way to go!!!}
2,"{(patti s for example), scheduling group.  plus your thoughts on any changes that need to be made.  , phillip, randy,,  can you send me a schedule of the salary and level of everyone in the }"
3,{let's shoot for tuesday at 11:45.  }
4,"{greg,,  how about either next tuesday or thursday?, phillip}"
5,"{john lavorato, phillip allen, thank you for your help, frank ermis, please cc the following distribution list with updates:, keith holst (kholst@enron.com), mike grigsby (mike.grigsby@enron.com), phillip allen (pallen@enron.com), monique sanchez}"
6,{any morning between 10 and 11:30}
7,"{ dns: 151.164.1.8,         rc:  105891,   3.  company: 0413,  gate: 64.216.90.110,  ip: 64.216.90.105,   2.  static ip address,  i don't think these are required by the isp , 1. login:  pallen pw: ke9davis,  sub: 255.255.255.248}"
8,"{> gas requirement for 240 microturbines 302 - 403 mmcf per year, >, > gas will likely be consumed from may through september, during peak, > electric period., > gas price required: burnertip price behind (ldc) san diego gas & electric, > need detail breakout of commodity and transport cost (firm or, > interruptible)., >, > should you have additional questions, give me a call., > let me assure you, this is real deal!!, > manager, business development and planning, > buck buckner, p.e., mba, > big box retail sales, > 8725 pan american frwy, > albuquerque, nm 87113, > 505-798-6424, > 505-798-6050x, > 505-220-4129, > 888/501-3145, > , >, > gas requirement for 180 microturbines 227 - 302 mmcf per year, > honeywell power systems, inc., >, ---------------------- forwarded by phillip k allen/hou/ect on 10/16/2000 , 01:42 pm ---------------------------, ""buckner, buck"" <buck.buckner@honeywell.com> on 10/12/2000 01:12:21 pm, cc:  , phillip,, > as discussed  during our phone conversation, in a parallon 75 microturbine, > for 6-8 hours a day  microturbine run time:, > proposal to sell power to customer at fixed or collar/floor price. to do, > so i need a corresponding term gas price for same. microturbine is an, > onsite generation product developed by honeywell to generate electricity, > power generation deal for a national accounts customer, i am developing a, > best fixed price forward gas price deal for 1, 3, 5, 7 and 10 years for, > on customer site (degen). using natural gas. in doing so,  i need your, > stores (60-100) in san diego., > we are proposing installing 180 - 240 units across a large number of, >, > gas trading, truly you., > store number varies because of installation hurdles face at small percent., > microturbine or sell them turbines themselves. kwh deal must have limited/, > customer. we have the opportunity to sell customer kwh 's using, > annual/seasonal supply to microturbines to generate fixed kwh for, > no risk forward gas price to make deal work. therein comes sempra energy}"
9,"{mr. buckner,,  for delivered gas behind san diego, enron energy services is the appropriate , enron entity.  i have forwarded your request to zarin imam at ees.  her phone , number is 713-853-7107.  , phillip allen}"
10,"{ 3.  click on the  (c): drive, phillip,  5.  click on save:,  4.  click on the appropriate folder,  2.  click on the drop down triangle under save in:,  open them and save in the rentroll folder.  follow these steps so you don't , misplace these files.,  here are the rentrolls:, lucy,,  1.  click on save as}"
11,"{physical gas for mid market., physical gas for inside ferc,, physical gas for nymex,, gas daily for monthly index,, appropriate positions to show for each:, ability to properly show curve shift for float-for-float deals; determine the , would be tied to a grouped column in the bottom grid., shown directly above monthly positions.  each grouped column in the top grid , ability to split the current position grid to allow daily positions to be , of all curves on which the desk has a position., transport, swaps, options, ..., new drill down in the position manager to break out positions by: physical, , add up existing position manager rows/columns)., customized rows and columns in the position manager (ad hoc rows/columns that , ticker., define the desired lay out of the position manager screen: main view and all , inclusion of sitara physical deals into the tds position manager and deal , things requested thus far (no particular order):, use the above to formulate a project plan., drill downs., ability for tds to pull valuation results based on a tds flag instead of , addition of a curve tab to the position manager to show the real-time values , using official valuations., and explicit position break out issues., inclusion of spread options in our systems.  ability to handle volatility , work with traders to define the exact requirements of each., point., transport.  hopefully we'll know much better where that part stands at that , ps: colleen is setting up a meeting tomorrow to discuss the direction for , -- allan., deployment of tds in canada. currency and volume uom conversions. implicit , benchmark positions in tds., individual deals on the position total in a grid cell., position drill down in the position manager to isolate the impact of , eliminate change deals with no economic impact from the tds deal ticker., prior deal terms, and net p&l affect of the change., ability to view change deal p&l in the tds deal ticker.  show new deal terms, , manager., ability to isolate the position change due to changed deals in the position , inclusion of positions for exotic options currently managed in spreadsheets., a new position screen for options (months x strike x delta).  tbd., valuation of gas daily options., gamma grid., approximate delta changes between valuations using instantaneous gamma or a , ability to revalue all options incrementally throughout the trading day.  , skew and correlations., position and p&l aggregation across all gas desks., for those in scope, work to define relative importance (priority) of each and , ability to include the gas price book into tds:, go through the list of requests to determine which are in scope for this , plan on consolidate physical/financial positions and transport trade capture. , requirements. also, to reiterate that the goals of this project is a project , future, but in order to create a plan that can be measured we need firm , building a capability to create a more flexible position presentation for the , consolidated position screen, this is critical. this does not exclude , happen on monday from 3 - 5 is a effort to design a desired layout for the , arrange the position screen to their liking (much like excel). what needs to , consolidated position, so the solution was to make it so that a trader can , inability to get consensus amongst the traders on the presentation of the , consuming.  throughout the meeting on wednesday, keith alluded to the , consolidated position screen, will be extremely difficult and time , on wednesday,  was informative the solution of creating a infinitely dynamic , the need for a single set of requirements. although the meeting with keith, , trade capture. what we need to focus on is the first bullet in allan's list; , requirements for consolidated physical/financial positions and transport ,  below is the issues & to do list as we go forward with documenting the , phillip,, cc: beth perlman/hou/ect@ect , 10/06/2000 06:59 am, richard burchfield, 02:16 pm ---------------------------, the other issues that have been raised will be capture as projects on to , themselves, and will need to be prioritised as efforts outside of this , ---------------------- forwarded by phillip k allen/hou/ect on 10/09/2000 , i have been involved in most of the meetings and the discussions have been , project., project.  it'll help determine which requests fall under the project scope., make it as clear as possible what we're trying to accomplish with this , i think it may be useful to try to formulate a high level project goal to , things left to do:, be outside the scope of position consolidation., we're getting hit with a lot of different requests, many of which appear to , requirements and help come to a consensus regarding the requirements., traders.  we really need a single point of contact to help drive the trader , three meetings which brought out very different issues from different , we don't have a single point of contact from the trading group.  we've had , project and which fall out of scope., from our initial set of meetings with the traders regarding consolidated , mills/hou/ect@ect, kenny ha/hou/ect@ect , cc: peggy alix/hou/ect@ect, russ severson/hou/ect@ect, scott , 10/05/2000 06:03 pm, allan severude, 08:34 am ---------------------------, ---------------------- forwarded by richard burchfield/hou/ect on 10/06/2000 , richard  , we need to have focus on the objectives we set out to solve., good. i believe there has been good communication between the teams, but now , positions, i think we still have the following issues:}"
12,"{ability to split the current position grid to allow daily positions to be , shown directly above monthly positions.  each grouped column in the top grid , would be tied to a grouped column in the bottom grid., ability to properly show curve shift for float-for-float deals; determine the , physical gas for inside ferc,, gas daily for monthly index,, physical gas for nymex,, of all curves on which the desk has a position., appropriate positions to show for each:, addition of a curve tab to the position manager to show the real-time values , ticker., new drill down in the position manager to break out positions by: physical, , add up existing position manager rows/columns)., customized rows and columns in the position manager (ad hoc rows/columns that , physical gas for mid market., inclusion of sitara physical deals into the tds position manager and deal , things requested thus far (no particular order):, use the above to formulate a project plan., drill downs., define the desired lay out of the position manager screen: main view and all , work with traders to define the exact requirements of each., transport, swaps, options, ..., ability for tds to pull valuation results based on a tds flag instead of , ability to revalue all options incrementally throughout the trading day.  , position and p&l aggregation across all gas desks., for those in scope, work to define relative importance (priority) of each and , transport.  hopefully we'll know much better where that part stands at that , ps: colleen is setting up a meeting tomorrow to discuss the direction for , -- allan., and explicit position break out issues., deployment of tds in canada. currency and volume uom conversions. implicit , benchmark positions in tds., individual deals on the position total in a grid cell., position drill down in the position manager to isolate the impact of , eliminate change deals with no economic impact from the tds deal ticker., using official valuations., prior deal terms, and net p&l affect of the change., manager., point., inclusion of positions for exotic options currently managed in spreadsheets., a new position screen for options (months x strike x delta).  tbd., valuation of gas daily options., gamma grid., approximate delta changes between valuations using instantaneous gamma or a , skew and correlations., inclusion of spread options in our systems.  ability to handle volatility , ability to include the gas price book into tds:, ability to view change deal p&l in the tds deal ticker.  show new deal terms, , ability to isolate the position change due to changed deals in the position , project and which fall out of scope., project.  it'll help determine which requests fall under the project scope., requirements. also, to reiterate that the goals of this project is a project , future, but in order to create a plan that can be measured we need firm , building a capability to create a more flexible position presentation for the , consolidated position screen, this is critical. this does not exclude , happen on monday from 3 - 5 is a effort to design a desired layout for the , arrange the position screen to their liking (much like excel). what needs to , consolidated position, so the solution was to make it so that a trader can , inability to get consensus amongst the traders on the presentation of the , consuming.  throughout the meeting on wednesday, keith alluded to the , consolidated position screen, will be extremely difficult and time , on wednesday,  was informative the solution of creating a infinitely dynamic , the need for a single set of requirements. although the meeting with keith, , trade capture. what we need to focus on is the first bullet in allan's list; , requirements for consolidated physical/financial positions and transport ,  below is the issues & to do list as we go forward with documenting the , phillip,, cc: beth perlman/hou/ect@ect , 10/06/2000 06:59 am, richard burchfield, 02:00 pm ---------------------------, ---------------------- forwarded by phillip k allen/hou/ect on 10/09/2000 , plan on consolidate physical/financial positions and transport trade capture. , go through the list of requests to determine which are in scope for this , the other issues that have been raised will be capture as projects on to , project., make it as clear as possible what we're trying to accomplish with this , i think it may be useful to try to formulate a high level project goal to , things left to do:, be outside the scope of position consolidation., we're getting hit with a lot of different requests, many of which appear to , requirements and help come to a consensus regarding the requirements., traders.  we really need a single point of contact to help drive the trader , three meetings which brought out very different issues from different , we don't have a single point of contact from the trading group.  we've had , themselves, and will need to be prioritised as efforts outside of this , positions, i think we still have the following issues:, mills/hou/ect@ect, kenny ha/hou/ect@ect , cc: peggy alix/hou/ect@ect, russ severson/hou/ect@ect, scott , 10/05/2000 06:03 pm, allan severude, 08:34 am ---------------------------, ---------------------- forwarded by richard burchfield/hou/ect on 10/06/2000 , richard  , we need to have focus on the objectives we set out to solve., good. i believe there has been good communication between the teams, but now , i have been involved in most of the meetings and the discussions have been , from our initial set of meetings with the traders regarding consolidated }"
13,"{phillip, side is very sparse.  , dave, ,  here are the names of the west desk members by category.  the origination }"
14,"{paula,,  35 million is fine, phillip}"
15,"{  , x.31560, rain, thanks,,  if you have any questions/conflicts, please feel free to call me.,   location: eb30c1,   time:  2:30 - 3:30 ,   date:  wednesday, october 11th,                                 topic:  var, reporting and resources meeting, please plan to attend the below  meeting:, romero/na/enron@enron, kimberly hillis/hou/ect@ect ,         , cc: rita hennessy/na/enron@enron, ina rangel/hou/ect@ect, laura , harder/corp/enron@enron, kimberly brown/hou/ect@ect, araceli , 04:23 pm ---------------------------,    , 	enron north america corp., 	, ---------------------- forwarded by phillip k allen/hou/ect on 10/04/2000 , 	, neal/hou/ect@ect, john arnold/hou/ect@ect, grant masson/hou/ect@ect, ted , murphy/hou/ect@ect, vladimir gorny/hou/ect@ect, frank hayden/corp/enron@enron, 	from:  airam arteaga                           10/04/2000 12:23 pm}"
16,"{tim,, mike grigsby is having problems with accessing the west power site.  can you please make sure he has an active password.  , thank you,, phillip}"
17,"{projects, just as the duplexes do now., and for these new units are going to be significantly higher, roughly $1.25, per square foot if leased for the entire unit on a 12-month lease and, $1.30-$1.40 psf if leased on a 12-month term, but by individual room.  this, property will have the best location for student housing of all new, if this project is of serious interest to you, please let me know as there, several new studies we have looked at show that the rents for our duplexes, yet known, but it would be likely to be $300,000 to secure the land.  i will, know more on this question later today., sincerely,, george w. richards, president, creekside builders, llc,  - winmail.dat, is a very, very short window of opportunity.  the equity requirement is not, san marcos, which now has a moratorium on development., westgate, sale and approved for 134 units.  the land is selling for $2.50 per square, ---------------------- forwarded by phillip k allen/hou/ect on 10/03/2000 , 04:30 pm ---------------------------, ""george richards"" <cbpres@austin.rr.com> on 10/03/2000 06:35:56 am, cc: ""larry lewter"" <retwell@mail.sanmarcos.net> , foot as it is one of only two remaining approved multifamily parcels in west, enclosed are demographics on the westgate site from investor's alliance., please respond to <cbpres@austin.rr.com>, on san marcos that you received earlier., if there are any other questions or information requirements, let me know., then, let me know your interest level in the westgate project?, san marcos, the property across the street from the sagewood units in san marcos is for, investor's alliance says that these demographics are similar to the package}"
18,"{there will be a meeting on tuesday, oct. 10th at 4:00pm in eb3270 regarding , ena denver office, nancy hall, regards,, thank you!, storage strategies in the west.  please mark your calendars., jackson/corp/enron@enron , 303-575-6490, harrison/na/enron@enron, lucci/na/enron@enron, paul bieniawski/corp/enron@enron, tyrell , 10/02/2000 06:42 am, nancy hall@enron, 04:13 pm ---------------------------, ---------------------- forwarded by phillip k allen/hou/ect on 10/03/2000 , cc: jean mrha/na/enron@enron, ina rangel/hou/ect@ect, monica }"
19,"{brenda,, please use the second check as the october payment.  if you have already , tossed it, let me know so i can mail you another., phillip}"
20,{i think fletch has a good cpa.  i am still doing my own.  }
21,"{phillip, original deal.  do you want me to fax this to you?, brenda,,  please use the second check as my october payment.  i have my copy of the }"
